,Type,Name,Age,Gender,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed,ColorName_x,ColorName_y,ColorName,BreedName_x,BreedName_y,StateName_x
10,1,American Cocker Spaniel,96,1.0,2.0,2,1,1,2,1,2,0,41326,b15a301e93bd523ab2d71c342eb3054b,0,"Two lovable pure bred American Cocker Spaniel, father and son. I would really love for them to be adopted as one as they have always been together in and out. I have to let them go as I am getting married and my in-laws are not able to accept pets in the house to my utter dismay. I love both of them dearly. Please let me know if you have room for both my babies as I really do want them to go to a loving home. Pure breed American Cocker Spaniel (Father) - About 12 years old - Calm & Tender Behavior - Loves to sit and listen to human voices - Loves water & shower time - Slight ear infection that comes and goes - Has a lump in his chest for years which the doctor has informed me that it is nothing to worry about. Pure breed American Cocker Spaniel (Son) - About 8 years old - Lovable, Hyper & Attention Seeking Behavior - Loves tummy rubs - Loves water & shower time",01928bd13,4.0,1,Brown,Golden,Cream,Cocker Spaniel,Cocker Spaniel,Selangor
11,2,Tinderbell,2,2.0,1.0,1,2,1,2,1,1,0,41326,1565d406c559212ca01bba319c615c1f,0,"Lively, playful, litter training on-going. Eats well, fits in well with other cats. Found outside a sundry shop alone, very friendly but hungry and lost. Anyone who wishes to adopt Tinder please text me on my handphone. Thanks.",3a5d5a265,10.0,1,Black,Golden,Cream,Tortoiseshell,Domestic Short Hair,Selangor
12,2,Abby Abigail,3,2.0,,2,1,1,2,1,1,0,41326,1565d406c559212ca01bba319c615c1f,0,"5/3/13 - Vet visit - checked ears/skin , all clear. Dewormed. 13/3/13 - vaccinated (1st shot) ------------------------------------------- Abbey she proves to be one of those cats with entertaining personality; playful and with many funny antics. She is a cat who likes to be around her owner. She loves to observe what humans do and when you are lying down or watching tv, she'll come close to you and snuggle up to you. Day time after she has eaten to her heart's content she will find her spot and catnap away. After a month with us, she has grown quite bigger! Fully house trained. (update: 30/3/13). Anyone wishing to adopt Abbycat may text or email me for viewing arrangement. I am looking for a responsible pet owner who without doubt will comply to the following requirements. - vaccinations (and yearly follow-ups) - neutering by 5-6 months - lots of TLC!!! Info:",4c1adfa96,5.0,2,Black,Golden,,Tortoiseshell,Domestic Short Hair,Selangor
13,1,Louise,18,2.0,2.0,1,1,1,1,1,1,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,Louise is believed to be an abandoned pet. She is a great watchdog and has a good temperament. Looking for a good home. No tying up or caging unless for short periods. Please call if u can give her a second chance.,a528683b3,10.0,4,Black,Golden,Cream,Mixed Breed,Hound,Selangor
14,1,Cody & Yumi,2,2.0,2.0,2,2,2,2,1,2,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,"Cody looks like a teddy bear, has golden fur with a cream colored chest. Sister Yumi is black and tan.",d7a772967,9.0,3,Black,Golden,Cream,Terrier,Mixed Breed,Selangor
15,1,Aaron & Ayumi,2,3.0,2.0,1,1,1,2,1,2,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,"Aaron and his sister Ayumi are two good-looking pups looking for homes. Aaron is black and tan, a handsome male and soo lovable. Ayumi has a lovely golden brown coat, and is slightly bigger in size> both are a tad shy but warming up slowly. Adopters must spay and vaccinate them. Please give them a loving home.",5a567392e,8.0,3,Black,Golden,Cream,Doberman Pinscher,Mixed Breed,Selangor
16,1,Romeo & Roscoe,2,2.0,3.0,2,1,1,2,1,1,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,"Two brothers, Romeo and Roscoe",a21b6c40a,19.0,3,Black,Golden,Cream,Labrador Retriever,Mixed Breed,Selangor
17,1,Sunny,4,2.0,2.0,1,3,3,3,1,1,0,41326,39006661857dd0ffccf95206e1d52981,0,Extremely cute and adorable. Up for adoption. Mother is a german shepherd and father is a mixed breed. Very obedient and well trained. If interested pls call me. (Hema),7ae269152,3.0,3,Black,Golden,Cream,German Shepherd Dog,Mixed Breed,Selangor
18,1,Hercules And Purple,6,3.0,2.0,2,1,1,2,1,2,0,41326,ab507af840a5c70a3ef8d8bba200a533,0,The pet needs a better home,7218c8328,4.0,4,Black,Golden,Cream,Flat-coated Retriever,Golden Retriever,Selangor
19,1,3 Siblings (Female-Retriever Pups),3,2.0,,2,1,1,2,1,1,0,41326,3b074cadd2350de62dca7056b9bab6f4,0,"serious adopters only! If you are interested in adopting, kindly contact ==> Call/ SMS/ Whatapps to Requirements for Adoption: ========================= All adoptions are subject to an interview and house check. Cost of vaccinations and neutering to be borne by adopter. Vaccinations and neutering/spaying at 6 months of age are COMPULSORY.",2fb24b53d,19.0,1,Black,Golden,,Mixed Breed,Retriever,Selangor
20,2,Baby,4,2.0,1.0,1,2,2,2,1,1,0,41326,d835d7d98b94ec261d6d889a39eaed73,0,"Dearest all.. This is a new cat my friend just found. She's a very very manja cat! Has nice pattern around her neck.. She very healthy,with no health issues nor injuries. She's not yet vaccinated,dewormed or spayed bcoz just found her. He urgently needs to be rehomed and new owner must be a cat lover and has cat friendly home. Those who are interested..pls do email or call(Kak Ina). Serious adopter only! Location: Bandar Tasek Selatan.(Self-collect)",09eca4557,3.0,3,Brown,Yellow,Cream,Dilute Tortoiseshell,Domestic Short Hair,Selangor
21,2,Mix,8,3.0,3.0,3,3,3,3,1,6,100,41326,e080af0b992133e02f66b8df3aa6e10e,0,Hi i have 6 cats to be adopt. They are healthy and playful. They are long hair and have long tail. The fee that i used for adoption can be in cash or exchange with crystal litter 5 bags or 4 kg royal canine (adults or kitten) or 6kg blackwood for one cat. This fee is also to be consider that this cat will go to a loving home that they will be taken care of. This is also helping me to foster the other cats and find them good home. Please sms if you want to see their pics. They are not vaccine yet. For those who want to adopt these furkids and give them a loving home please sms me.,5fe32151b,0.0,1,Brown,Yellow,Cream,Domestic Long Hair,Domestic Medium Hair,Selangor
22,2,Baby,4,2.0,2.0,1,2,2,1,1,1,0,41326,858e353a7447affcd122c32b150beb32,0,"She's a happy lovely cat , she likes attention",951f0f32a,1.0,4,Brown,Yellow,Cream,American Shorthair,Tiger,Selangor
23,2,Siti,12,2.0,1.0,2,1,1,2,1,1,0,41326,bd7c5b134046f7ee62af1262d4f409f9,0,Hai there! Siti is a good inhouse cats. Adorable friendly with all cats. Toilet train and lovely to the owner. If anyone interested to adopt Siti please call or whatsapp my number. Thank you.,c56dc5726,1.0,1,Brown,Yellow,Cream,Tortoiseshell,Tortoiseshell,Selangor
24,1,Lucas,12,1.0,3.0,2,2,2,1,1,1,150,41326,5ed96132dba518c712f2679819bae018,0,"Rescued as he came to our office stairwell, and my father managed to feed him and give him water. Soon, he allowed my father to touch him and so we had him collared and leashed, taking him to the vet where we are currently housing him, searching for a home. He is said to be mixed with Labrador Retriever genes, according to our vet in charge. He was all skin and bones, with unhealthy skin when we first saw him. He is now recovering and becoming a healthy boy who needs a home. Will be going to take new pictures of him soon!",1f4871c30,3.0,2,Brown,Yellow,Cream,Mixed Breed,Labrador Retriever,Selangor
25,1,4 PUPPIES FOR ADOPTION,2,3.0,3.0,2,2,2,2,1,4,0,41326,22337391ad49b4d7d4c63e7119d97b04,0,"We have been feeding these puppies for few weeks. finally ask the pet shop for help to rescue and put in their pet shop wait for people to adopt . now the puppies available for viewing in pet shop name my pets haven in setia alam . if confirm want and setia alam is too far for you , we can deliver within klang valley . please please adopt these cute little puppies .give them a loving home . there are also Adult dog for adoption at my pets haven . Please come and take a look. 3 male (2 brown , 1 light milky colour) , 1 female (light milky colour) for more photos pls see at : strictly whatsapp only. DO NOT CALL. i will not pick stranger numbers . PET HAVEN ADDRESS : No. 12-1, Jalan Setia Prima, SU 13/S, Setia Alam, Shah Alam, Malaysia, Malaysia Phone:",6e642352c,1.0,2,Brown,Yellow,Cream,Mixed Breed,Mixed Breed,Selangor
26,1,Calm,4,2.0,2.0,1,1,1,2,1,1,0,41326,cf0355c8b9249b3c8fefdb67d91df147,0,"Rescued with 7 siblings. She’s a lovely, obedient girl, and walks well on a leash. Toilet trained. Affectionate and eager to please, although shy at first. Gets on well with other dogs. Calm is a follower. She is a great guard dog - will be friendly if you introduce someone to her, but barks at strangers approaching the house.",40fbb932c,3.0,3,Brown,Yellow,Cream,Mixed Breed,Mixed Breed,Selangor
27,1,,2,,2.0,1,2,1,2,1,1,80,41326,38ad857963032aeabee378ba6865fcae,0,"Very Cute.....Very Healthy........taught and knows how to go to grass/garden side to poo poo or pee pee unless already cannot tahan............. they know how to ""sit"", shake hand & bend down... very clever.",22a0baf52,3.0,4,Brown,Yellow,,Mixed Breed,Mixed Breed,Selangor
28,1,6 Puppies,2,3.0,1.0,1,2,2,3,1,6,0,41326,793a857b0f2db4c0ed8fd9e38cc7cb5f,0,"Free for adoption, Klang valley.. do contact to this number only..",98780fbb6,4.0,4,Brown,Yellow,Cream,Mixed Breed,Mixed Breed,Selangor
29,1,BUNDLES OF JOY,1,3.0,2.0,2,1,1,2,1,5,0,41326,2bc582de6743ec43f6f4e8c585cc728b,0,"THIS BEAUTIFUL 5 SIBLINGS WERE RESCUED RECENTLY AND NOW NEEDS A NEW HOME. ( 2 MALES AND 3 FEMALES ) IF YOU HAVE A PLACE IN YOUR HOME, AND MOST IMPORTANTLY YOUR HEART, THEY WOULD LIKE PERMANENT RESIDENCY his vaccinated and dewormed too, so his healthy and happy just for you/// TO ADOPT ANY ONE OF THEM: CALL.. HASVEEN-",d6691251b,3.0,2,Brown,Yellow,Cream,Mixed Breed,Mixed Breed,Selangor
30,1,Labby,2,2.0,2.0,2,2,1,2,1,1,0,41326,db784cbcf321e1d8856b312638b94113,0,We found this pretty girl in the market with her mother. Her 2 other sisters passed away due to car ran over them. Now we have put her in the vet for safety purposes and she is ready for adoption. She is very playful and loving too. Lester Jenny Will you adopt her? ================================================== Adopters are required to vaccinate and neuter them. ==================================================,c8c7ef646,8.0,2,Brown,Yellow,Cream,Labrador Retriever,Mixed Breed,Selangor
31,1,ð°ð¾88ð¾ð°FattFatt,24,3.0,2.0,1,2,2,1,1,4,8,41326,dd4e471fd184fbb112238745f3bf8c75,0,"There is a pack of 4 dogs (2 males, 2 females....spayed) which I'd been feeding for over a year. They live in a bungalow construction site. Unfortunately, the project will be completing soon and rumors has it that the developer will get authority to catch and kill the dogs. These dogs are good guard dog. But once they get to know you (like me and my friends), they will turn friendly. They are a bunch of grateful doggies and playful too! Beautiful, healthy and intelligent😍 Best if can be adopt together (I know it's tough but I'm hoping a factory could accommodate them) or can be separated to individual adopter. NOTE: potential adopter MUST NOT cage or chain any dogs that adopt fr me Pls call, Angel. Dogs are located in Kota Kemuning Utama, Shah Alam. Pls give them a chance❤️",ef80d0222,4.0,3,Brown,Yellow,Cream,Mixed Breed,Terrier,Selangor
32,2,Tiger,6,1.0,2.0,3,3,3,2,1,1,150,41326,e41212f5f62c766dbce2401431612f38,0,"I found him in our apartment Very pretty cat Do not know why his former owner does not want him. he is very playful, so adopter must have time daily to play with him. The condition to adopt Tiger are as below : Must vaccinate him Must keep indoor Must provide at least premium kibbles Please bear in mind that it's a 15 to 20 years responsibility. Adopter have 2 weeks probation period. If you change you mind, you could return tiger to within 2 weeks. In any time long future, if you can't keep him anymore, you will need to return him to me as well. whatsapp me or can speak Chinese to call me, because I can not say Malay, English is also very poor ... The hair on the back of the cat was shaved off by me because he has some fleas. Rm is used to ligation for him, after the completion can be returned to you.",603dbe569,1.0,1,Brown,Yellow,Cream,Domestic Long Hair,Maine Coon,Selangor
33,2,Nunim,5,2.0,2.0,2,2,1,2,1,1,0,41326,1e58f09a1e2f24942187fb9d385286d4,0,Nunim is looking for a new home… She has masked eyes. She is a playful kitten but so behave and clean. She knows how to use her litter box since she is 1 month y.o. She is well raised and now looking for a new adopter to adopt her and love her forever.. Adopt her and please love her… I love her but there are too many kittens in my house right now and my family is getting busy recently.,4d101a0c3,3.0,2,Black,Yellow,Cream,Tortoiseshell,Domestic Short Hair,Selangor
34,1,Wong & Choi,32,3.0,2.0,1,1,1,1,1,2,0,41326,2dea9d1be190e7ccb927bbbab3c43c6f,0,"I have been posting for about 1 year and I still couldn't find a home for them. I really Really really really hope someone can give them a home. =( They might get caught by MPSJ soon. 1) ""Wong"" which is the yellow female dog -When I came to Subang, she was abandon as a puppy nearby my hostel. She gave birth once and then it was spayed. She is a very fat and healthy dog. One of the most friendly stray I came across. 2) ""Choi"" which is the black male dog -It is super dependent on ""Wong"" and friendly to human too. He always get bullied by other stray dogs here, only Wong actually loves him, they will lick each other every time. If either one of them was gone, I don't know how they live their lives again. Although they are not expensive breeds but they can definitely bring joy to your life. They both located at Subang area. I can send to your place if you really can take good care of them. My contact is Darren I can provide health check fees and vaccination for them. Please please please please please please please give them a HOME. contact me please.",4c594983d,5.0,4,Black,Yellow,Cream,Mixed Breed,Mixed Breed,Selangor
35,1,Xindie,20,2.0,2.0,2,1,1,1,1,1,0,41326,df6cfa21332ecd002cfb205c97907acb,0,Xindie is a very alert dog and she is very inteligent in its own way.She can also be a guard dog.,ea03ccbba,4.0,4,Black,Yellow,Cream,Siberian Husky,Spitz,Selangor
36,2,Jenny & Her Babies,16,3.0,2.0,2,1,1,2,1,3,0,41326,afd29fcaf7533852bd7c8b3599e6744a,0,Jenny gave birth to Moon (orangy) and River (grey-ish) about 2 months plus ago. I would like for them to be adopted as a family.,1adf071b0,4.0,2,Golden,Yellow,Cream,,,Selangor
37,2,Simba,5,1.0,1.0,1,2,2,2,1,1,0,41326,3d705260a5eb049510ce87c718f30f92,0,"Found Simba crying out loud nearby the playground. Not sure he was abandoned or he lost his way. First time seeing him around my area. Carried him back to my house and feed him. He was really hungry. Once he is well fed, he straight away start to be very friendly and manja with me. Come to brush my leg and begging for petting. Follow me every where. He is extremely smart. Straight away know how to use litter box and know how to come to me when I call him. He is now living with me and he is schedule to visit the vet soon for neutering and checkups. He is looking for forever loving home. Anyone interested and willing to love him forever, kindly WhatsApp me. Thanks!",9abe933fd,7.0,2,Golden,Yellow,Cream,Domestic Short Hair,Tabby,Selangor
38,2,Mama Yen And 2 Kittens,14,3.0,,2,2,2,2,1,3,0,41326,1cd592b0e9639edd0fbe05c381f8ef67,0,"Giving away a mommy cat with its 2 kittens. All the kittens are well-behaved, not yet litter-trained. Mommy cat is in perfect condition, also well behaved and is very loving. All of them are healthy. None of them are picky about food so dry cat food would be fine for them. If you are willing to pick up the whole group, you may ask for us to spay/neuter them or not before adopting the cats (no charges). Please contact me via whatsapp for more details about them and to discuss adoption.",0bdd7f7ac,3.0,4,Golden,Yellow,,Domestic Medium Hair,Tabby,Selangor
39,2,Sunbeam,3,1.0,,1,2,2,2,1,1,0,41326,5aca30a29e8290093fee2a334d65d835,0,"Sunbeam is a male ginger kitten who was born in a litter of 2 kitties in the bushes of a condo parking. His sibling is missing but Sunbeam survived the harsh weather conditions and the complaints from condo residents. He's now older, stronger and healthy enough to be rehomed. He's playful, feisty and affectionate. A little easy to be startled so you need to approach him gently. Seeking sincere adopter who is willing to: 1) Provide a loving, permanent home to Sunbeam. 2) Keep him indoor. 3) Give proper health care - Annual vaccination and deworm. 4) Neuter him when he's older. Please WhatsApp or call me if you are able to fulfill the above and genuinely want to adopt Sunbeam. Thank you.",b1dd64fa6,5.0,3,Golden,Yellow,,Domestic Short Hair,Domestic Medium Hair,Selangor
40,2,Sesame,1,2.0,2.0,1,2,2,2,1,1,0,41326,5aca30a29e8290093fee2a334d65d835,0,"Sesame was found lost and helpless by a drain along the busy streets of SS2 five days ago. She is very young, age about 1 month old, healthy, playful and affectionate. Sesame will be taken to the vet for vaccination and deworming next week. She will be ready for adoption by end of September as when she's a little bigger and stronger. Looking for serious adopter who is willing to give Sesame a forever home.",d565f7c6f,8.0,1,Golden,Yellow,Cream,Domestic Short Hair,Domestic Medium Hair,Selangor
41,2,,3,1.0,1.0,2,2,1,2,1,1,0,41326,a9188bbfae8aa808e56da6f1d595882e,0,"I found this kitten in front of my workplace. He was hungry and shivering as it was a cold night, so I took him home. I couldn't keep him due to financial restriction. I have deflea and deworm him. He has also went for a checkup at the vet. He is free from parvo virus. He is very active and playful. My number is",e2334b5d7,5.0,1,Golden,Yellow,Cream,,,Selangor
42,2,Kyle,3,1.0,2.0,1,2,2,2,1,1,0,41326,498a3034cb70c571be25f76c8b679f0c,0,"A very friendly, playful and ""petit"" kitten. Kyle is one male from a litter of 6. We are running out of space so all 6 have to be adopted and loved by you. The breed is Bengal (25%) + American Short Hair (25%) + DSH (50%) Colour is orange + Golden + light brown (lines) Best characteristics: He is so playful and would not mind being held and pet. He is the smallest in his litter, but also the most active. He has long and slightly crooked tail at the end. which makes it look like ""mata kail"" or ""fish hook"". Hence the name Kyle (Kail). :) Feeds on ProDiet kitten dry food + occasional ProDiet wet food + Goat's milk. Please check out my other kittens of the same litter.(Amy, sofi, Sherhan, Mika, Bino, Kyle) All have been kept indoors (free roaming) and have never been in contact with grass or other cats. SMS/Whatsapp ONLY.",30e900b4a,3.0,1,Golden,Yellow,Cream,Bengal,American Shorthair,Selangor
43,2,Mika,3,1.0,2.0,1,2,2,2,1,1,0,41326,498a3034cb70c571be25f76c8b679f0c,0,"A very friendly, playful and ""Handsome"" kitten. Mika is one male from a litter of 6. We are running out of space so all 6 have to be adopted and loved by you. The breed is Bengal (25%) + American Short Hair (25%) + DSH (50%) Colour is orange + Golden + cream (lines) Best characteristics: He is so playful and would not mind being held and pet. He is the most handsome of his litter and the biggest in size. Also the most fit and fearless! :) However, the moment you hold and cuddle Mika, he will just melt in your arms..... Feeds on ProDiet kitten dry food + occasional ProDiet wet food + Goat's milk. Please check out my other kittens of the same litter.(Amy, sofi, Sherhan, Mika, Bino, Kyle) All have been kept indoors (free roaming) and have never been in contact with grass or other cats. SMS or WhatsApp ONLY",f98b9d62a,3.0,1,Golden,Yellow,Cream,,,Selangor
44,1,Marco,4,1.0,2.0,1,2,2,2,1,1,0,41326,03145edac97e94af2a5b2d64427d4042,0,"It is active, and knows about certain commands examples, Hand Sit Up No. It would obey these commands on most of the time. It's looking for a better shelter and a better loving kind owner as we are going to move to another place in few months later. Thank you very much.",d4223dd4c,6.0,1,Golden,Yellow,Cream,Mixed Breed,Golden Retriever,Selangor
45,2,Junior,2,1.0,1.0,1,2,2,2,2,1,0,41326,45693d627ba33f56f4d228094fd4ae75,0,very manja and active. love to cuddle. slight skin condition. please call for details.,6cf7d415b,3.0,3,Black,Brown,Cream,Domestic Short Hair,Domestic Short Hair,Selangor
46,2,Choco And Latto,4,1.0,2.0,2,2,2,2,1,1,99,41326,c6b4576571bdfcf30804b96593efcf3b,0,"Cross-breed between DLH (Father) and DSH (Mother). Both litterbox-trained and already stopped mother's milk. Choco's stripes are more obvious, Latto is more friendly. Diet: Royal Canin Indoor and SmartHeart Hairball Control Previously, Royal Canin Kitten and IAMS Chicken Litter: Cat's Best Organic Cat Litter Up for adoption to support parent's expenditure. Instead of cash, willing to accept Royal Canin Kitten 4KG or Cat's Best Organic Cat Litter 13KG 30L.",4fb9fc3d1,5.0,2,Black,Brown,Cream,Domestic Short Hair,Domestic Long Hair,Selangor
47,2,Kiki And Lala,3,2.0,1.0,2,2,2,2,1,2,100,41326,4c7fd7a41293346f7b4a02ad46b5505b,0,cute playful n manja u'll adore them rm for both free delivery services(depends on area),b3fa60bc7,3.0,3,Black,Brown,Cream,Domestic Short Hair,Domestic Long Hair,Selangor
48,2,Long Hair Calico Girl,2,2.0,2.0,3,2,1,2,1,1,100,41326,438a9bdce8ef4d5948fc40e422d34d0d,0,"Adorable local mix Persian kitten looking for new home. She is Long Hair Calico Girl, a black, cream and brown kitten, about 2 months old now. She has fluffy hair with a straight, fluffy tail too. She has beautiful orange eyes. She has de-flea and was de-wormed on 24th December . She is a bit skinny due to lack of nutrition when we rescued her. She is feeding on kibbles plus wet food (canned fish) now. She is healthy, very active and playful. She is toilet (potty) trained & could be let go at anytime. *RM adoption fee would be paid to Cat Charity Club (CCC) for rescuing stray cats. *Another RM neutering / spaying deposit would be fully refundable once the surgery done. Anyone interested, please call .",fa94b21d1,5.0,1,Black,Brown,Cream,Persian,Domestic Long Hair,Selangor
49,2,,2,3.0,2.0,1,2,2,2,1,4,0,41326,2548aaafc40b585ae59aa7ccb2845881,0,"Found abandoned. Rescued a few weeks ago. Only about 5 weeks ago. Currently bottle fed, and starting solids. HOpe to find a home soon. Email if keen.",403cf8d32,4.0,1,Black,Brown,Cream,Tabby,Tabby,Selangor
50,2,Lil Zenna,3,2.0,2.0,2,2,1,2,1,1,0,41326,0e6838a2d5099bc264b141f1fb69831e,0,She is always curious and observing her siblings. Does this cute little head tilt whenever she is curious. Beautiful little girl. Love reaching out with her tiny little paw to touch u and get your attention.,ca5a9ff9c,0.0,4,Black,Brown,Cream,Tabby,Domestic Medium Hair,Selangor
51,2,Little Zenna,3,2.0,,2,2,1,2,1,1,0,41326,f4bdb2393f541926230c24e460862848,0,"Adopted must agree to spay her. She love to play but not as active as her sinlings. She is more of the observer. Sometimes she just sat there with her curious little head tilt, observing her siblings jumping and pouncing onto each other. She too like her brother, love reaching out her little paw to touch you or disturb you for attention. Haha.",bbc6d3812,5.0,2,Black,Brown,,Tabby,Domestic Medium Hair,Selangor
52,2,"Dusty, Angel And Bruno",2,,1.0,2,2,2,2,1,3,0,41326,93670bdf022250c423ab8cdf7810fa5f,0,Three healthy kittens looking for a home. They are half siamese (my brothers' kitten as their mother hasn't be neutered). Please e-mail me if you're interested and tell me your experience with cats. I prefer them to be indoor cats. They are available for viewing from 8/2 onwards,481a37c0f,5.0,0,Black,Brown,,Siamese,Domestic Medium Hair,Selangor
53,2,Scratch,3,2.0,2.0,1,1,1,2,1,1,0,41326,c3293c545122a72cbc22a50744322aee,0,"I found Scratch under my BBQ pit in my car porch and she stole my heart. Weak and abandoned, she seemed so helpless. While I've never owned a cat, I was won over and decided to take her in. Unfortunately, changes at work means I won't be around to look after her. Heartbroken to see her go but I'd like her to have a good permanent home. Scratch was 2+ months old when I found her. She has had her first vaccination and deworm pill done. She's also potty trained. A month on she is growing fast! Smart, active and playful, her favourite toys are my Ipad charger (forget Appstore, she has more fun trying to chase it around), a stressball (I feel more destressed seeing her play with it then when I actually squeeze it myself) and a little piece of cloth which I used to cover her when she first came in (I guess it is her security blanket). Vet/Owners at the petstore I brought her to were very attracted to her so hoping she will appeal to one of you kind souls. Hoping to find a new owner by Tuesday, 11th June.",82f1872bf,6.0,1,Black,Brown,Cream,Domestic Short Hair,Tortoiseshell,Selangor
54,1,Teddy Sisters,2,2.0,2.0,2,2,2,2,1,6,0,41326,90191b06d602e8d45b4ce25dd22c6a3e,0,The Teddy Sisters are a bunch of cute and cuddly puppies. They were found at an empty shoplot nearby my house. They were abandoned by some irresponsible people. They seek love and shelter from a good home.,64c1c412b,6.0,2,Black,Brown,Cream,Mixed Breed,Mixed Breed,Selangor
55,1,Cute Chubby Puppies,1,3.0,1.0,1,2,1,3,1,6,0,41326,793a857b0f2db4c0ed8fd9e38cc7cb5f,0,Rescued puppies. currently mother and kids at boarding for special care from 0 month old(puppies) and now puppies are 6 weeks old.. ready to adopt. puppies already dewormed. they are very active and in good health condition as it is given special care. free adoption Transport provided for klang area. Interested to give home for these kids? please call(jack) or(vithiya),6d4bdde4c,5.0,2,Black,Brown,Cream,Mixed Breed,Mixed Breed,Selangor
